autistic,prolific_pid,expression,unique_property,occlusion,set_a_dist_feature,set_a,set_b
No,598c4b28cceb0f0001b39675,two black circles and a green triangle,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,598c4b28cceb0f0001b39675,two large triangles and a small circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,598c4b28cceb0f0001b39675,two small blue squares and a large green triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5abbe13268b65b00018cf94b,two pink pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5abbe13268b65b00018cf94b,two large black pentagons and a square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5abbe13268b65b00018cf94b,two green small squares,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5abbe13268b65b00018cf94b,two large circles and a star on the right,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5abbe13268b65b00018cf94b,two small triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5abbe13268b65b00018cf94b,two small green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5abbe13268b65b00018cf94b,two big pink circles next to A SMALL blue triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5abbe13268b65b00018cf94b,two large blue stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5abbe13268b65b00018cf94b,two large blue squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,5abbe13268b65b00018cf94b,two large green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5abbe13268b65b00018cf94b,two small black squares,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5abbe13268b65b00018cf94b,two small black pentagons,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5abbe13268b65b00018cf94b,two circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5abbe13268b65b00018cf94b,two small black stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5abbe13268b65b00018cf94b,big 2 pink stars,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5abbe13268b65b00018cf94b,two small green stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5abbe13268b65b00018cf94b,two large green stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5abbe13268b65b00018cf94b,two large triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5abbe13268b65b00018cf94b,two small green pentagons and a large square,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5abbe13268b65b00018cf94b,two black triangles next to a star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5abbe13268b65b00018cf94b,two small green circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5abbe13268b65b00018cf94b,two black circles and a green triangle,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5abbe13268b65b00018cf94b,two large blue triangles,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5abbe13268b65b00018cf94b,two blue squares next to a green triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5b59a51fca6d01000157a8c3,two large pink pentagons to the left of a small blue triangle,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5b59a51fca6d01000157a8c3,two large black pentagons to the left of a small pink square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5b59a51fca6d01000157a8c3,two small green squares to the left of a large pink star,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5b59a51fca6d01000157a8c3,two large pink circles to the left of a small black star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5b59a51fca6d01000157a8c3,two small pink triangles to the left of a large black square,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5b59a51fca6d01000157a8c3,two small green triangles to the left of a large pink star,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5b59a51fca6d01000157a8c3,two large pink circles to the left of a small blue triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5b59a51fca6d01000157a8c3,two large blue stars to the left of a small black pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5b59a51fca6d01000157a8c3,two large blue squares to the left of a small black star,square,no,type,"two, big, blue, square","one, small, black, star"
No,5b59a51fca6d01000157a8c3,two large green squares to the left of a small black star,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5b59a51fca6d01000157a8c3,two small black squares to the left of a large green pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5b59a51fca6d01000157a8c3,two small black pentagons to the left of a large pink circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5b59a51fca6d01000157a8c3,two small black circles to the left of a large green square,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5b59a51fca6d01000157a8c3,two small black stars to the left of a large blue circle,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5b59a51fca6d01000157a8c3,two large pink stars to the left of a small green triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5b59a51fca6d01000157a8c3,two small green stars to the left of a large pink square,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5b59a51fca6d01000157a8c3,two large green stars to the left of a small pink circle,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5b59a51fca6d01000157a8c3,two large green triangles to the left of a small blue pentagon,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5b59a51fca6d01000157a8c3,two small green pentagons to the left of a large black square,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5b59a51fca6d01000157a8c3,two large black triangles to the left of a small blue star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5b59a51fca6d01000157a8c3,two small green circles to the left of a large blue pentagon,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5b59a51fca6d01000157a8c3,two small black circles to the left of a large green triangle,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5b59a51fca6d01000157a8c3,two large blue triangles to the left of a small black circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5b59a51fca6d01000157a8c3,two small blue squares to the left of a large green triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5b829a201a1b2200016e86c4,"two big pink hexagons, one small blue triangle",pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5b829a201a1b2200016e86c4,two hexagons and a square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5b829a201a1b2200016e86c4,"two small green squares, one big pink star",square,yes,type,"two, small, green, square","one, big, pink, star"
No,5b829a201a1b2200016e86c4,"two circles and a star, circles are bigger than the star",big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5b829a201a1b2200016e86c4,"two small triangles, big square",triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5b829a201a1b2200016e86c4,"two wee triangles, big star","small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5b829a201a1b2200016e86c4,"two big circles, one small blue triangle",circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5b829a201a1b2200016e86c4,"two big blue stars, one small black hexagon","big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5b829a201a1b2200016e86c4,"two big squares, one star",square,no,type,"two, big, blue, square","one, small, black, star"
No,5b829a201a1b2200016e86c4,green triangles and black star,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5b829a201a1b2200016e86c4,"two small black boxes, one big green hexagon",square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5b829a201a1b2200016e86c4,"two small black hexagons, one big pink circle","small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5b829a201a1b2200016e86c4,two circles and a square,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5b829a201a1b2200016e86c4,"two small black triangles, one big blue circle",black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5b829a201a1b2200016e86c4,"two big pink stars, one small green triangle",star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5b829a201a1b2200016e86c4,"two small green stars, one big pink square",small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5b829a201a1b2200016e86c4,two stars and a circle,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5b829a201a1b2200016e86c4,two triangles and a hexagon,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5b829a201a1b2200016e86c4,two hexagons and a square,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5b829a201a1b2200016e86c4,"two big black triangles, one small blue star",black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5b829a201a1b2200016e86c4,two circles and a pentagon,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5b829a201a1b2200016e86c4,"two small black circles, one big green triangle",black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5b829a201a1b2200016e86c4,"two big blue triangles, one small black circle",triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5b829a201a1b2200016e86c4,"two small blue squares, big green triangle",blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5c3a2b143ce2c80001127e16,two pentagons and a triangle,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5c3a2b143ce2c80001127e16,2 big black pentagons and small pink square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5c3a2b143ce2c80001127e16,2 small green squares and big pink star,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5c3a2b143ce2c80001127e16,2 big pink circles and 1 small black star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5c3a2b143ce2c80001127e16,2 small pink triangles and big black square,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5c3a2b143ce2c80001127e16,2 small green triangles and 1 pink star,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5c3a2b143ce2c80001127e16,2 big pink circles and 1 small blue triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5c3a2b143ce2c80001127e16,2 big blue stars and small black pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5c3a2b143ce2c80001127e16,two squares and a star,square,no,type,"two, big, blue, square","one, small, black, star"
No,5c3a2b143ce2c80001127e16,2 big green squares and small black star,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5c3a2b143ce2c80001127e16,two small black squares and big green pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5c3a2b143ce2c80001127e16,2 small black pentagons and big pink circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5c3a2b143ce2c80001127e16,2 small black circles and big green square,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5c3a2b143ce2c80001127e16,2 small black stars and big blue circle,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5c3a2b143ce2c80001127e16,2 big pink stars and small green triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5c3a2b143ce2c80001127e16,star small stars and a big square,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5c3a2b143ce2c80001127e16,2 big green stars and small pink circle,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5c3a2b143ce2c80001127e16,2 big green triangles and blue pentagon,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5c3a2b143ce2c80001127e16,2 small pentagons and big black square,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5c3a2b143ce2c80001127e16,2 big black triangles and small blue star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5c3a2b143ce2c80001127e16,2 small green circles and big blue pentagon,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5c3a2b143ce2c80001127e16,2 small black circles and big green triangle,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5c3a2b143ce2c80001127e16,2 big blue triangles and small black circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5c3a2b143ce2c80001127e16,2 small blue squares and 1 big green triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5c4f7b99b33a5300013dbfdd,the two large pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5c4f7b99b33a5300013dbfdd,the two large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5c4f7b99b33a5300013dbfdd,the large pink star and the two small green squares,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5c4f7b99b33a5300013dbfdd,the two large pink circles and the small black star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5c4f7b99b33a5300013dbfdd,the two small triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5c4f7b99b33a5300013dbfdd,the two small green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5c4f7b99b33a5300013dbfdd,the two large pink circles and the small blue triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5c4f7b99b33a5300013dbfdd,the two large blue stars and the small black pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5c4f7b99b33a5300013dbfdd,the two large squares,square,no,type,"two, big, blue, square","one, small, black, star"
No,5c4f7b99b33a5300013dbfdd,the two green squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5c4f7b99b33a5300013dbfdd,the two small black squares and the large green pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5c4f7b99b33a5300013dbfdd,the two small black pentagons and the large pink circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5c4f7b99b33a5300013dbfdd,the two small black circles,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5c4f7b99b33a5300013dbfdd,the two small pink stars,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5c4f7b99b33a5300013dbfdd,the two large pink stars and the small green triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5c4f7b99b33a5300013dbfdd,the large pink square and two small green stars,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5c4f7b99b33a5300013dbfdd,the two large stars,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5c4f7b99b33a5300013dbfdd,the two large triangles,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5c4f7b99b33a5300013dbfdd,the two small green pentagons and the large black square,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5c4f7b99b33a5300013dbfdd,the two large black triangles and the small blue star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5c4f7b99b33a5300013dbfdd,the two small circles,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5c4f7b99b33a5300013dbfdd,the two small black circles,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5c4f7b99b33a5300013dbfdd,the two large blue triangles and the small black circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5c4f7b99b33a5300013dbfdd,the two small blue squares and the large green triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5c912cc4833d710012ba013c,two large pentagons and a small blue triangle,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5c912cc4833d710012ba013c,two large pentagons and a small square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5c912cc4833d710012ba013c,two green squares and a pink star,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5c912cc4833d710012ba013c,two large pink circles followed by a small black star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5c912cc4833d710012ba013c,two small pink triangles followed by a black square,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5c912cc4833d710012ba013c,two small triangles and a large star,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5c912cc4833d710012ba013c,two large pink circles and a blue small triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5c912cc4833d710012ba013c,two large blue stars followed by a small pentagon touching the bottom of the box,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5c912cc4833d710012ba013c,two large blue squares followed by a black star,square,no,type,"two, big, blue, square","one, small, black, star"
No,5c912cc4833d710012ba013c,"two large green squares, followed by a small black star","big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5c912cc4833d710012ba013c,two black squares on the left and a large pentagon on the right,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5c912cc4833d710012ba013c,small black pentagons and a large pink circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5c912cc4833d710012ba013c,two black circles and a green square,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5c912cc4833d710012ba013c,two black stars ,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5c912cc4833d710012ba013c,large pink stars and a small triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
No,5c912cc4833d710012ba013c,two small green stars and a large pink square,small,yes,non_type,"two, small, green, star","one, big, pink, square"
No,5c912cc4833d710012ba013c,large green stars and a pink circle,star,no,type,"two, big, green, star","one, small, pink, circle"
No,5c912cc4833d710012ba013c,two large triangles followed by a small pentagon,big,no,non_type,"two, big, green, triangle","one, small, blue, pentagon"
No,5c912cc4833d710012ba013c,two green pentagons followed by a large square,pentagon,yes,type,"two, small, green, pentagon","one, big, black, square"
No,5c912cc4833d710012ba013c,two large black triangles followed by a small blue star,black,yes,non_type,"two, big, black, triangle","one, small, blue, star"
No,5c912cc4833d710012ba013c,two circles and a large pentagon,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
No,5c912cc4833d710012ba013c,two black circles followed by a triangle,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
No,5c912cc4833d710012ba013c,two large blue triangles followed by a smaller black circle,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
No,5c912cc4833d710012ba013c,two blue squares and a large green triangle,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
No,5ce5bcf74caf470001da7c33,pentagons and triangle,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
No,5ce5bcf74caf470001da7c33,big pentagons and square,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
No,5ce5bcf74caf470001da7c33,small green squares and big pink stars,square,yes,type,"two, small, green, square","one, big, pink, star"
No,5ce5bcf74caf470001da7c33,big pink circles and black star,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
No,5ce5bcf74caf470001da7c33,triangles and square,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
No,5ce5bcf74caf470001da7c33,small triangles and star,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
No,5ce5bcf74caf470001da7c33,circles and triangle,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
No,5ce5bcf74caf470001da7c33,big blue stars and black pentagon,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
No,5ce5bcf74caf470001da7c33,Squares and stars,square,no,type,"two, big, blue, square","one, small, black, star"
No,5ce5bcf74caf470001da7c33,green squares and star,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
No,5ce5bcf74caf470001da7c33,small black squares and big green pentagon,square,yes,type,"two, small, black, square","one, big, green, pentagon"
No,5ce5bcf74caf470001da7c33,black pentagons and circle,"small, black",yes,non_type,"two, small, black, pentagon","one, big, pink, circle"
No,5ce5bcf74caf470001da7c33,circles and square,circle,no,type,"two, small, black, circle","one, big, green, square"
No,5ce5bcf74caf470001da7c33,black stars and circle,black,no,non_type,"two, small, black, star","one, big, blue, circle"
No,5ce5bcf74caf470001da7c33,pink stars and small triangle,star,yes,type,"two, big, pink, star","one, small, green, triangle"
